city,time,product_line,unit_price,quantity,tax_5%,total,payment,customer_type,gender,rating,cogs,gross_income
yangon,2019-01-01 10:39:00,sports_and_travel,72.61,6,21.783,457.443,credit card,normal,male,6.9,435.66,21.783
yangon,2019-01-01 13:55:00,fashion_accessories,65.74,9,29.583,621.243,cash,normal,female,7.7,591.66,29.583
yangon,2019-01-01 14:42:00,electronic_accessories,74.22,10,37.11,779.31,credit card,member,female,4.3,742.2,37.11
yangon,2019-01-01 14:47:00,home_and_lifestyle,47.59,8,19.036,399.756,cash,member,male,5.7,380.72,19.036
yangon,2019-01-01 20:26:00,sports_and_travel,27.04,4,5.408,113.568,ewallet,member,female,6.9,108.16,5.408
yangon,2019-01-02 10:08:00,food_and_beverages,14.23,5,3.5575,74.7075,credit card,member,female,4.4,71.15,3.5575
yangon,2019-01-02 15:10:00,sports_and_travel,69.52,7,24.332,510.972,credit card,member,male,8.5,486.64,24.332
yangon,2019-01-02 19:54:00,health_and_beauty,77.68,4,15.536,326.256,cash,member,female,8.4,310.72,15.536
yangon,2019-01-03 10:22:00,electronic_accessories,45.48,10,22.74,477.54,credit card,normal,female,4.8,454.8,22.74
yangon,2019-01-03 16:23:00,fashion_accessories,22.32,4,4.464,93.744,credit card,member,female,4.4,89.28,4.464
yangon,2019-01-03 18:14:00,home_and_lifestyle,34.73,2,3.473,72.933,ewallet,normal,male,9.7,69.46,3.473
yangon,2019-01-13 10:03:00,sports_and_travel,45.58,7,15.953,335.013,cash,normal,male,5.0,319.06,15.953
yangon,2019-01-13 12:55:00,home_and_lifestyle,81.01,3,12.1515,255.1815,credit card,member,male,9.3,243.03,12.1515
yangon,2019-01-13 17:54:00,health_and_beauty,39.62,9,17.829,374.409,credit card,member,female,6.8,356.58,17.829
yangon,2019-01-13 19:14:00,electronic_accessories,23.46,6,7.038,147.798,ewallet,normal,female,6.4,140.76,7.038
yangon,2019-01-14 12:52:00,fashion_accessories,96.7,5,24.175,507.675,ewallet,member,female,7.0,483.5,24.175
yangon,2019-01-14 19:30:00,fashion_accessories,56.04,10,28.02,588.42,ewallet,member,male,4.4,560.4,28.02
yangon,2019-01-15 10:43:00,sports_and_travel,19.1,7,6.685,140.385,cash,normal,female,9.7,133.7,6.685
yangon,2019-01-15 10:54:00,food_and_beverages,83.77,2,8.377,175.917,credit card,member,male,7.0,167.54,8.377
yangon,2019-01-15 15:42:00,home_and_lifestyle,89.21,9,40.1445,843.0345,credit card,member,female,6.5,802.89,40.1445
yangon,2019-01-15 17:17:00,electronic_accessories,60.88,9,27.396,575.316,ewallet,normal,female,4.7,547.92,27.396
yangon,2019-01-15 17:24:00,home_and_lifestyle,11.43,6,3.429,72.009,cash,normal,female,7.7,68.58,3.429
